"","idx","Pm.mean","Pm.se","Pm.Bulk_ESS","Pm.Tail_ESS","Pm.Rhat","alpha.mean","alpha.se","alpha.Bulk_ESS","alpha.Tail_ESS","alpha.Rhat","Icomp.mean","Icomp.se","Icomp.Bulk_ESS","Icomp.Tail_ESS","Icomp.Rhat","samples"
"Oct","2004-10",-2.789913861585,3.27645678960138,471.813201340221,558.600356579352,1.00097638506545,0.00055301384361775,0.00115560804578611,432.789159299527,674.086217173999,1.0027025514099,144.241404471,85.9294311639099,676.529797484218,494.794060025109,0.999756115330711,22.5806451612903
"Nov","2004-11",-2.08712228536965,2.96854229614973,467.638675777994,780.024007779572,1.00619266302995,0.0006024876240756,0.00134186937088112,466.801860341249,767.557002721416,1.00905062521089,150.600148175,88.202203614063,1129.37443171955,639.675709850128,1.00042361620477,96.875
"Dec","2004-12",-2.4667851246545,3.32270266077367,395.709687871757,757.468531495221,1.00351174215897,0.00070760383328073,0.00148213375214273,355.065467195006,779.736137998861,1.00024582275776,187.23412099,132.975784939963,129.21982410173,94.5110220862612,1.00578185182154,98.7231182795699
"Jan","2005-01",-2.12855698883487,3.10962833281402,276.907207000685,349.839263207022,1.00536985442485,0.00061105844543145,0.00133104225716849,302.872236232674,503.468518405964,1.01116563397881,155.7049083945,87.7893542244125,887.361412958495,643.625830679109,0.999823053470404,94.9596774193548
"Feb","2005-02",-2.12682718279625,3.00204211673127,402.19386221193,467.036610466398,1.00056522094174,0.00042352436732552,0.000931661510186983,427.324706594095,783.555192061071,1.00101615417727,146.374227954,84.0321330516434,956.270006157541,809.919654040569,0.999838819227615,97.0982142857143
"Mar","2005-03",-2.005719379235,3.15227953512804,20.7038578196645,43.4631805754895,1.04695811508041,0.000519050812392325,0.000974307939533756,15.2634794171417,53.9606976722688,1.06833621816571,155.25042186,85.6422297300873,91.951871011908,293.006691979974,1.00218879441687,91.7338709677419
"Apr","2005-04",-2.0820862597007,3.17243747097811,232.859916160302,422.563841510412,1.00159263091293,0.000290003792758495,0.000632698269103179,294.212603295871,669.044468376316,1.00024901645112,143.8581142065,79.169908572714,973.196283275461,585.459858976009,1.0000806270075,96.3888888888889
"May","2005-05",-2.03664866336617,2.96254444157129,303.130431015225,482.330816948524,1.00061707154219,0.00034513108499096,0.000941655764001996,306.866183038562,584.204779780066,0.999625931772641,135.3069163605,82.8694722341802,567.289235080308,398.310872022565,1.0064698132506,92.2715053763441
"Jun","2005-06",-7.376848955,3.64288581319179,3.83053721737105,36.1068461718788,1.19519818265445,2.2668843981e-05,3.29061815258584e-05,10.2971260829486,66.8397052253086,1.07597570148084,187.7329803,95.2243765384147,2.82949540701594,38.3771124381066,1.28266682154421,72.6388888888889
"Jul","2005-07",-2.68394588523575,3.23871408119677,671.758645592333,647.775060901654,1.00070555351469,0.0004486828487033,0.000900273956303669,671.802045792457,821.20950393666,1.00034759483339,140.5607785925,86.3530896839122,1050.37351384088,860.618366123777,1.00034013346517,35.5510752688172
"Aug","2005-08",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,29.0994623655914
"Sep","2005-09",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Oct1","2005-10",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Nov1","2005-11",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Dec1","2005-12",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Jan1","2006-01",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Feb1","2006-02",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Mar1","2006-03",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Apr1","2006-04",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"May1","2006-05",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Jun1","2006-06",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Jul1","2006-07",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Aug1","2006-08",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Sep1","2006-09",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0
"Oct2","2006-10",-2.587120118512,3.16072673975028,629.039456726418,588.345172818105,0.999627781320813,0.000392412154935485,0.000894837191513307,537.854361723935,686.084393399668,1.00078825288419,140.612668143,82.6781113241127,1160.79914490624,808.602954565092,1.00156078794132,0.0672043010752688
"Nov2","2006-11",-2.2258144846007,3.05503117823512,457.644165154651,555.50411532595,1.00769996118414,0.0004307859403071,0.000998907381250508,456.0816961267,699.265721624556,1.0103482308247,152.333007136,92.2253706367753,1032.14669404101,577.596305604815,1.00001903101771,99.5138888888889
"Dec2","2006-12",-2.6426847672485,3.25854149618486,725.228523435012,753.636388721002,1.00037580278276,0.000627267792141115,0.00131429716319107,642.500203983835,801.85684185375,0.999710784432557,154.4603402005,92.8484150945505,1013.66498165576,631.757559824653,0.999793598089288,26.747311827957
