"","idx","a.mean","a.se","a.Bulk_ESS","a.Tail_ESS","a.Rhat","b.mean","b.se","b.Bulk_ESS","b.Tail_ESS","b.Rhat","samples"
"Oct","2004-10",0.510143348875,0.0343968767050847,840.919598922647,288.946049571807,1.00760520211555,0.0875263965625,0.00230338281333511,915.006601961575,541.922406644813,1.00510578368909,22.5806451612903
"Nov","2004-11",0.4224935985,0.0374892970718766,2686.27008111454,1497.38577766414,1.00146274280122,0.0875050584125,0.00240322580413908,2571.73484890122,1959.6247234473,1.000829066753,96.875
"Dec","2004-12",0.47515315925,0.0356748496361682,2180.92662176263,1310.9983110334,1.00178919007777,0.0872827430375,0.00254835759049925,1831.65379332535,1664.41153345836,1.00262893022769,98.7231182795699
"Jan","2005-01",0.438954345625,0.0550982068165106,4814.5825153187,3718.21587194727,1.00069195812973,0.0877400889625,0.00221047375290818,3779.0313783164,3379.05259471997,1.00090823393847,94.9596774193548
"Feb","2005-02",0.40686922525,0.036011892633103,3318.00048796619,2294.15237930133,1.00029043865867,0.0875644531875,0.00235681807472374,3229.093755573,3646.30175648192,1.00039573517322,97.0982142857143
"Mar","2005-03",0.40241196675,0.0473111674376561,2780.06693989201,1664.81163360948,1.00099559947438,0.086632527575,0.0032807510716906,2563.79052339526,2454.09847530025,1.00101254758275,91.7338709677419
"Apr","2005-04",0.410756336625,0.0397229249083035,3228.80615985014,1681.50282354927,1.00147001293637,0.0872575442375,0.00268847395221356,2678.04164320894,2373.7349671354,1.00086542079647,96.3888888888889
"May","2005-05",0.3807494115,0.0312672798691935,2351.2596281172,1797.37453433148,1.00205845512229,0.0873663108875,0.00240357594679869,1942.22174814396,2449.83906603648,1.00219834691847,92.2715053763441
"Jun","2005-06",0.380880711625,0.0362602640023436,3179.93588406552,1861.9854476085,1.00135847246713,0.0877258210125,0.00213025029260962,2743.73788419084,2679.77938182731,1.00080046953299,72.6388888888889
"Jul","2005-07",0.438733660125,0.0722756682510892,4725.50536852219,3426.96946156013,1.00120878546558,0.087650070725,0.00231046350449886,3861.585477457,3422.90697527302,1.00136558367135,35.5510752688172
"Aug","2005-08",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,29.0994623655914
"Sep","2005-09",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Oct1","2005-10",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Nov1","2005-11",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Dec1","2005-12",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Jan1","2006-01",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Feb1","2006-02",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Mar1","2006-03",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Apr1","2006-04",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"May1","2006-05",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Jun1","2006-06",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Jul1","2006-07",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
