"","idx","r0.mean","r0.se","r0.Bulk_ESS","r0.Tail_ESS","r0.Rhat","alpha.mean","alpha.se","alpha.Bulk_ESS","alpha.Tail_ESS","alpha.Rhat","beta.mean","beta.se","beta.Bulk_ESS","beta.Tail_ESS","beta.Rhat","samples"
"Oct","2004-10",1.347561453,0.780086063510557,634.548997897128,939.147099140083,1.00007944929901,0.06361267087085,0.0478952101133452,557.884889362701,653.807991852768,1.00051051238575,-0.000330754382596,0.00111793413310604,643.990063042322,724.209051028638,1.0002640000062,22.5806451612903
"Nov","2004-11",1.630107768,0.926603566245318,612.882275957575,535.360416032686,1.00258153059206,0.06488856964265,0.0482890565182531,588.585778177366,771.340705515402,1.0008514027741,-0.0012877334120565,0.00130309492621833,648.73181438938,824.420984060611,0.99965951345325,96.875
"Dec","2004-12",0.7627143405,0.38566261079707,590.398492955107,795.167556611849,1.00302554834201,0.091477998682,0.0523497214104368,554.472782796177,730.867624273252,1.00096728820702,-0.000981771718515,0.0014377000517468,618.441475790617,848.246252651456,0.999550510186212,98.7231182795699
"Jan","2005-01",0.71721203685,0.442313067596641,944.872633545722,845.267359225476,1.00217045076187,0.06727323040335,0.0487088821262724,702.509830754643,781.955829207958,1.00146885324308,0.000221646386125,0.00188066796433242,963.306959370511,833.035462557115,1.0056914560415,94.9596774193548
"Feb","2005-02",0.5802895035,0.316011824507619,573.123347082607,891.327830585568,1.00039927073172,0.1059843328505,0.0522677646100898,497.154152208251,689.082224148609,1.00107343363362,-0.00138762906521,0.00164680132709663,594.303209759935,941.014884948316,1.00064185141747,97.0982142857143
"Mar","2005-03",3.0247529285,1.09889905359193,539.823482970455,717.218014642513,1.00086598606146,0.07215609566115,0.044532532651339,432.282759507624,537.603740130976,1.00524084099026,-0.00353543957393,0.0014788357522597,495.419958097389,722.306440897374,1.00586446837086,91.7338709677419
"Apr","2005-04",1.6333757645,0.915104222678969,643.830323127812,964.470766734912,0.999830149263971,0.0807303179308,0.0517115980202962,486.24001282762,577.042676860545,1.00011754403104,-0.002197957415435,0.00147572379984476,568.88881946008,795.397060794679,1.00060346011985,96.3888888888889
"May","2005-05",2.591463046,1.17338555932756,838.682070218071,768.433795036519,1.00183444139149,0.0810891208365,0.0451520950681241,818.735580595248,862.188555336098,1.00069326350479,-0.002645620512615,0.00134748541025638,921.68639659549,1101.59113264771,1.0007699038513,92.2715053763441
"Jun","2005-06",2.14595147555,1.33541163864183,1235.29803134964,891.013010328376,1.00052436707641,0.07874155201895,0.0477490135417755,968.905654279066,967.671607683136,0.999558156489206,-0.00168548951298,0.00189295097005316,926.123230120533,850.842042953487,1.00039288866925,72.6388888888889
"Jul","2005-07",2.400611242,1.37150698907765,951.082210675424,982.683557506886,1.00444164847633,0.09285985384,0.054479157063476,837.489809342632,802.123829488932,1.00153573583325,-0.0020315878604815,0.00221174676106859,761.992084220576,941.787876965998,1.00106541365912,35.5510752688172
"Aug","2005-08",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,29.0994623655914
"Sep","2005-09",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Oct1","2005-10",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Nov1","2005-11",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Dec1","2005-12",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Jan1","2006-01",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Feb1","2006-02",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Mar1","2006-03",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Apr1","2006-04",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"May1","2006-05",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Jun1","2006-06",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Jul1","2006-07",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Aug1","2006-08",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Sep1","2006-09",1.269368439265,1.18414847398114,986.468155570756,1103.87450360608,1.00032769675158,0.06439373444245,0.0454818186026419,1078.59896570539,743.266173775884,1.00076293246157,2.08500369500006e-06,0.00213262796038826,819.08639588904,614.189471696112,1.00074152797551,0
"Oct2","2006-10",2.47078074427,1.52837205479209,55.8990226439979,355.300570165189,1.01790453567853,0.081806453615,0.0533652779943382,194.571367596946,339.239278799966,1.0138942968561,-0.036422660045,0.0268241457635162,46.768509693337,250.717538574649,1.04716964394678,0.0672043010752688
"Nov2","2006-11",0.34761582325,0.218153194368613,351.153812894267,704.970272359047,0.999541536367445,0.103238941277,0.0537187579354706,338.123082203929,624.963866865803,0.999658717538377,-0.000139438689145,0.00133629014394533,403.170886140624,894.712466621101,0.999774756852874,99.5138888888889
"Dec2","2006-12",0.3565433884,0.203365977250737,385.022306333905,710.295089815858,0.999506156540376,0.07640712958085,0.0519470124318313,335.19810504096,489.656396416787,0.999938845188515,0.00112183561347,0.00128173108553525,344.942057937645,719.694187420442,1.00025596185228,26.747311827957
